Algorithm,Input_Qubits,Allocated_Qubits,Execution_Time_s,Energy_Joules
BB84,10,10,0.000230,0.000000
BB84,12,12,0.000284,0.000000
BB84,14,14,0.000414,0.000000
BB84,16,16,0.000843,0.048322
BB84,18,18,0.002795,0.203374
BB84,20,20,0.015786,0.844569
BB84,22,22,0.256406,15.523978
BB84,24,24,0.858364,53.698433
BB84,26,26,3.816998,240.936736
BV,10,10,0.000296,0.000000
BV,12,12,0.000384,0.000000
BV,14,14,0.000543,0.024810
BV,16,16,0.001148,0.079029
BV,18,18,0.006618,0.287110
BV,20,20,0.018202,1.005105
BV,22,22,0.166382,11.505516
BV,24,24,1.100190,70.271718
BV,26,26,4.903140,317.759240
EDC,10,10,0.000405,0.049771
EDC,12,12,0.000509,0.050260
EDC,14,14,0.000741,0.052106
EDC,16,16,0.001443,0.109484
EDC,18,18,0.008209,0.376690
EDC,20,20,0.019814,1.313569
EDC,22,22,0.204070,14.348348
EDC,24,24,1.347243,87.690808
EDC,26,26,6.019941,391.132208
XOR,10,10,0.000177,0.024741
XOR,12,12,0.000189,0.000000
XOR,14,14,0.000254,0.051893
XOR,16,16,0.000402,0.000000
XOR,18,18,0.001056,0.052472
XOR,20,20,0.005839,0.286865
XOR,22,22,0.037768,2.584553
XOR,24,24,0.251795,16.074813
XOR,26,26,1.118777,71.479977
