w_flops,w_h2d,w_d2h,w_wram,total_sim_time_ms,total_flops,total_bytes,max_peak_memory_kb
0.1,0.1,0.1,0.0,9929.272782841856,51024352,8639424,1344.0
0.1,0.1,0.1,1.0,9929.272782841856,51024352,8639424,1344.0
0.1,0.1,0.1,3.0,9929.272782841856,51024352,8639424,1344.0
0.1,0.1,0.1,8.0,9929.272782841856,51024352,8639424,1344.0
0.1,0.1,0.1,20.0,9929.272782841856,51024352,8639424,1344.0
0.1,0.5,0.5,0.0,9929.272782841856,51024352,8639424,1344.0
0.1,0.5,0.5,1.0,9929.272782841856,51024352,8639424,1344.0
0.1,0.5,0.5,3.0,9929.272782841856,51024352,8639424,1344.0
0.1,0.5,0.5,8.0,9929.272782841856,51024352,8639424,1344.0
0.1,0.5,0.5,20.0,9929.272782841856,51024352,8639424,1344.0
0.1,1.0,1.0,0.0,9929.272782841856,51024352,8639424,1344.0
0.1,1.0,1.0,1.0,9929.272782841856,51024352,8639424,1344.0
0.1,1.0,1.0,3.0,9929.272782841856,51024352,8639424,1344.0
0.1,1.0,1.0,8.0,9929.272782841856,51024352,8639424,1344.0
0.1,1.0,1.0,20.0,9929.272782841856,51024352,8639424,1344.0
0.1,3.0,3.0,0.0,9929.272782841856,51024352,8639424,1344.0
0.1,3.0,3.0,1.0,9929.272782841856,51024352,8639424,1344.0
0.1,3.0,3.0,3.0,9929.272782841856,51024352,8639424,1344.0
0.1,3.0,3.0,8.0,9929.272782841856,51024352,8639424,1344.0
0.1,3.0,3.0,20.0,9929.272782841856,51024352,8639424,1344.0
0.1,8.0,8.0,0.0,9929.272782841856,51024352,8639424,1344.0
0.1,8.0,8.0,1.0,9929.272782841856,51024352,8639424,1344.0
0.1,8.0,8.0,3.0,9929.272782841856,51024352,8639424,1344.0
0.1,8.0,8.0,8.0,9929.272782841856,51024352,8639424,1344.0
0.1,8.0,8.0,20.0,9929.272782841856,51024352,8639424,1344.0
1.0,0.1,0.1,0.0,9929.272782841856,51024352,8639424,1344.0
1.0,0.1,0.1,1.0,9929.272782841856,51024352,8639424,1344.0
1.0,0.1,0.1,3.0,9929.272782841856,51024352,8639424,1344.0
1.0,0.1,0.1,8.0,9929.272782841856,51024352,8639424,1344.0
1.0,0.1,0.1,20.0,9929.272782841856,51024352,8639424,1344.0
1.0,0.5,0.5,0.0,9929.272782841856,51024352,8639424,1344.0
1.0,0.5,0.5,1.0,9929.272782841856,51024352,8639424,1344.0
1.0,0.5,0.5,3.0,9929.272782841856,51024352,8639424,1344.0
1.0,0.5,0.5,8.0,9929.272782841856,51024352,8639424,1344.0
1.0,0.5,0.5,20.0,9929.272782841856,51024352,8639424,1344.0
1.0,1.0,1.0,0.0,9929.272782841856,51024352,8639424,1344.0
1.0,1.0,1.0,1.0,9929.272782841856,51024352,8639424,1344.0
1.0,1.0,1.0,3.0,9929.272782841856,51024352,8639424,1344.0
1.0,1.0,1.0,8.0,9929.272782841856,51024352,8639424,1344.0
1.0,1.0,1.0,20.0,9929.272782841856,51024352,8639424,1344.0
1.0,3.0,3.0,0.0,9929.272782841856,51024352,8639424,1344.0
1.0,3.0,3.0,1.0,9929.272782841856,51024352,8639424,1344.0
1.0,3.0,3.0,3.0,9929.272782841856,51024352,8639424,1344.0
1.0,3.0,3.0,8.0,9929.272782841856,51024352,8639424,1344.0
1.0,3.0,3.0,20.0,9929.272782841856,51024352,8639424,1344.0
1.0,8.0,8.0,0.0,9929.272782841856,51024352,8639424,1344.0
1.0,8.0,8.0,1.0,9929.272782841856,51024352,8639424,1344.0
1.0,8.0,8.0,3.0,9929.272782841856,51024352,8639424,1344.0
1.0,8.0,8.0,8.0,9929.272782841856,51024352,8639424,1344.0
1.0,8.0,8.0,20.0,9929.272782841856,51024352,8639424,1344.0
5.0,0.1,0.1,0.0,9929.272782841856,51024352,8639424,1344.0
5.0,0.1,0.1,1.0,9929.272782841856,51024352,8639424,1344.0
5.0,0.1,0.1,3.0,9929.272782841856,51024352,8639424,1344.0
5.0,0.1,0.1,8.0,9929.272782841856,51024352,8639424,1344.0
5.0,0.1,0.1,20.0,9929.272782841856,51024352,8639424,1344.0
5.0,0.5,0.5,0.0,9929.272782841856,51024352,8639424,1344.0
5.0,0.5,0.5,1.0,9929.272782841856,51024352,8639424,1344.0
5.0,0.5,0.5,3.0,9929.272782841856,51024352,8639424,1344.0
5.0,0.5,0.5,8.0,9929.272782841856,51024352,8639424,1344.0
5.0,0.5,0.5,20.0,9929.272782841856,51024352,8639424,1344.0
5.0,1.0,1.0,0.0,9929.272782841856,51024352,8639424,1344.0
5.0,1.0,1.0,1.0,9929.272782841856,51024352,8639424,1344.0
5.0,1.0,1.0,3.0,9929.272782841856,51024352,8639424,1344.0
5.0,1.0,1.0,8.0,9929.272782841856,51024352,8639424,1344.0
5.0,1.0,1.0,20.0,9929.272782841856,51024352,8639424,1344.0
5.0,3.0,3.0,0.0,9929.272782841856,51024352,8639424,1344.0
5.0,3.0,3.0,1.0,9929.272782841856,51024352,8639424,1344.0
5.0,3.0,3.0,3.0,9929.272782841856,51024352,8639424,1344.0
5.0,3.0,3.0,8.0,9929.272782841856,51024352,8639424,1344.0
5.0,3.0,3.0,20.0,9929.272782841856,51024352,8639424,1344.0
5.0,8.0,8.0,0.0,9929.272782841856,51024352,8639424,1344.0
5.0,8.0,8.0,1.0,9929.272782841856,51024352,8639424,1344.0
5.0,8.0,8.0,3.0,9929.272782841856,51024352,8639424,1344.0
5.0,8.0,8.0,8.0,9929.272782841856,51024352,8639424,1344.0
5.0,8.0,8.0,20.0,9929.272782841856,51024352,8639424,1344.0
