schema_version,suite_id,case_id,case_family,benchmark_n_qubits,quest_cpu_compute_time_s_median,quimb_unsliced_compute_time_s_median,quimb_sliced_compute_time_s_median,quimb_unsliced_time_over_quest_time,quimb_sliced_time_over_quest_time,quimb_sliced_time_over_unsliced_time,quest_validation_passed_count,quimb_unsliced_validation_passed_count,quimb_sliced_validation_passed_count
research_benchmark_pack_v1,research_cpu_tn,quest_bb84_10q_research_tn,bb84,10,0.000252084,0.0006476269991253503,0.0008551979990443215,2.5690920452125092,3.392512016011811,1.3205101087497977,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_bb84_12q_research_tn,bb84,12,0.00033515,0.000749979997635819,0.0011057680021622218,2.237744286545783,3.299322697783744,1.474396658108166,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_bb84_14q_research_tn,bb84,14,0.000448513,0.0008502680029778276,0.0014156799988995772,1.8957488478100468,3.1563856541495503,1.6649809165363758,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_bb84_16q_research_tn,bb84,16,0.000973199,0.0010222700002486818,0.002299199997651158,1.050422370192203,2.362517838233658,2.2491122669078076,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_bb84_4q_research_tn,bb84,4,8.0682e-05,0.00025494899819022976,0.00041473900273558684,3.159924124218906,5.1404154921244745,1.626752823818237,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_bb84_6q_research_tn,bb84,6,0.000116629,0.0003779210019274615,0.0005845890009368304,3.2403690499572275,5.01238114822926,1.546855025138394,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_bb84_8q_research_tn,bb84,8,0.032148735,0.0004957919991284143,0.0007320670010813046,0.015421819836096641,0.022771253708156938,1.4765607399237055,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_bv_10q_research_tn,bv,10,0.000322297,0.0007892459980212152,0.0012604719995579217,2.448815837631797,3.9109020548063484,1.5970584617700396,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_bv_12q_research_tn,bv,12,0.000401466,0.0009505480011284817,0.0017077740012609866,2.3676924101380483,4.253844662464534,1.7966204749613204,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_bv_14q_research_tn,bv,14,0.000564301,0.0012664729983953293,0.002407290001428919,2.2443217332511005,4.2659679877032275,1.9007827284743135,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_bv_16q_research_tn,bv,16,0.041252811,0.0014536350026901346,0.007510872997954721,0.035237235171444066,0.18206936244792435,5.166959370168512,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_bv_4q_research_tn,bv,4,0.00011735,0.0003495979981380515,0.0007483980007236823,2.9791052248662244,6.377486158702022,2.140738804883403,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_bv_6q_research_tn,bv,6,0.000160702,0.0004771780004375614,0.0007927719998406246,2.969334547408006,4.933180668819459,1.6613758369280869,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_bv_8q_research_tn,bv,8,0.00024419,0.0006169909975142218,0.001131468998210039,2.5266841292199596,4.633559925508985,1.8338500930622708,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_edc_10q_research_tn,edc,10,0.000657134,0.0011489489988889545,0.0017605070024728775,1.7484242162008883,2.6790685042516102,1.5322760228481036,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_edc_12q_research_tn,edc,12,0.000538832,0.0013930170025560074,0.0025528439982736018,2.5852529221649925,4.737736434127152,1.8326007461426965,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_edc_14q_research_tn,edc,14,0.028597794,0.0015564029999950435,0.0026270929993188474,0.05442388318466255,0.09186348427150876,1.6879259416277235,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_edc_16q_research_tn,edc,16,0.001554759,0.0017710259999148548,0.0165167939994717,1.1391000148028438,10.623378928484545,9.326116048135813,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_edc_4q_research_tn,edc,4,0.000146234,0.00043961600022157654,0.0007749559990770649,3.00625025795353,5.2994242042005615,1.7628020788289538,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_edc_6q_research_tn,edc,6,0.000214553,0.0006634970013692509,0.0009958110022125766,3.092462008777556,4.641328726294093,1.5008523025085767,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_edc_8q_research_tn,edc,8,0.003363398,0.0008516200032318011,0.0016126699993037619,0.2532022684296658,0.4794764102564614,1.893649741884717,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_hs_10q_research_tn,hs,10,0.000401062,0.0009316889991168864,0.0015325970016419888,2.32305478733185,3.8213468282758996,1.6449662957217277,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_hs_12q_research_tn,hs,12,0.000524454,0.0011966060010308865,0.0018268089988850988,2.281622413082723,3.4832587774811494,1.5266587308698827,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_hs_14q_research_tn,hs,14,0.000819418,0.0014063490016269498,0.002249932000268018,1.7162778967839976,2.7457683383426015,1.59983901411752,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_hs_16q_research_tn,hs,16,0.001664233,0.0015732620013295673,0.0032239290012512356,0.9453375827360515,1.9371860798645597,2.04920032297652,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_hs_4q_research_tn,hs,4,0.000151033,0.0004140269993513357,0.0006797260029998142,2.741301565560743,4.5005131527534665,1.6417431811566745,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_hs_6q_research_tn,hs,6,0.000214322,0.0006656189980276395,0.0009746499999891967,3.1056960929239157,4.547596606924145,1.4642761142294272,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_hs_8q_research_tn,hs,8,0.000332635,0.0007499280000047293,0.0011388479979359545,2.2545071925826483,3.4237166802529932,1.518609783777606,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_qrng_10q_research_tn,qrng,10,0.000165351,0.0004140289966017008,0.0006452950001403224,2.5039400826224263,3.9025769432318063,1.558574412509328,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_qrng_12q_research_tn,qrng,12,0.000192423,0.00048386100024799816,0.0007603220001328737,2.5145694654381137,3.9513051980941656,1.5713645029113281,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_qrng_14q_research_tn,qrng,14,0.000262745,0.000609007001912687,0.0011786389986809809,2.3178633348405753,4.485866519556912,1.935345562496442,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_qrng_16q_research_tn,qrng,16,0.000512565,0.000858415001857793,0.0020125780029047746,1.674743694668565,3.9264834760562555,2.3445279946752176,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_qrng_4q_research_tn,qrng,4,5.6707e-05,0.00020634799875551835,0.000343015999533236,3.6388452705224816,6.048918114751901,1.6623180336226198,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_qrng_6q_research_tn,qrng,6,7.2486e-05,0.00028411499806679785,0.0004284370006644167,3.9195844448141415,5.910617231802234,1.5079703767123462,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_qrng_8q_research_tn,qrng,8,0.000142208,0.00035330499667907134,0.000528896001924295,2.484424200319752,3.719171930723271,1.4969955333089267,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_xor_10q_research_tn,xor,10,0.024596665,0.0004723589991044719,0.0008875800012901891,0.019204188824154488,0.036085379920009035,1.8790369252473638,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_xor_12q_research_tn,xor,12,0.000221327,0.0005285050028760452,0.0015923549981380347,2.387892136413746,7.1945808606181565,3.0129421471370694,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_xor_14q_research_tn,xor,14,0.00467438,0.0009105230019486044,0.0013890219997847453,0.19479011161878249,0.297156414280556,1.5255210431939756,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_xor_16q_research_tn,xor,16,0.000440168,0.0009502270004304592,0.003872081000736216,2.158782556729383,8.796825304738682,4.074901048888463,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_xor_4q_research_tn,xor,4,6.6455e-05,0.00019872399934683926,0.00032712599931983277,2.990354365312456,4.922518987583068,1.6461323262163694,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_xor_6q_research_tn,xor,6,8.0522e-05,0.0002774419990601018,0.0004922259977320209,3.445542821342016,6.112938050868346,1.7741582002708638,3,3,3
research_benchmark_pack_v1,research_cpu_tn,quest_xor_8q_research_tn,xor,8,0.000143059,0.00038014500023564324,0.0006797179994464386,2.657260292855698,4.751312391715577,1.7880492944142286,3,3,3
