schema_version,suite_id,case_id,case_family,benchmark_n_qubits,contraction_plan_hash,cpu_route_id,upmem_route_id,quantization_mode,cpu_time_s,upmem_simulator_time_s,route_time_ratio_cpu_over_upmem_simulator,actual_transfer_bytes,max_abs_error,same_plan_verified,hardware_speedup_applicable
research_benchmark_pack_v1,thesis_upmem_quantization_boundary,bb84_4q_thesis_upmem,bb84,4,720da59c30ca003e49937786f8324e410ecb70a9adf21b17ad114d455446ab44,cpu_tn_einsum_exact,upmem_tn_runtime,none,0.00010637199966367916,0.02871936400015329,0.003703842454976071,7012,0.0,True,False
research_benchmark_pack_v1,thesis_upmem_quantization_boundary,bb84_4q_thesis_upmem,bb84,4,720da59c30ca003e49937786f8324e410ecb70a9adf21b17ad114d455446ab44,cpu_tn_einsum_exact,upmem_tn_runtime,per_task_input_quantize,0.00010637199966367916,0.028054530000190425,0.003791615816160782,6948,0.0,True,False
research_benchmark_pack_v1,thesis_upmem_quantization_boundary,bb84_5q_thesis_upmem,bb84,5,bc151c497a73028bc9b31fed5d1bfa0983616c19250749d079b95563c1f99505,cpu_tn_einsum_exact,upmem_tn_runtime,none,0.00016688799996700254,0.035146771000199806,0.0047483167078436255,8660,0.0,True,False
research_benchmark_pack_v1,thesis_upmem_quantization_boundary,bb84_5q_thesis_upmem,bb84,5,bc151c497a73028bc9b31fed5d1bfa0983616c19250749d079b95563c1f99505,cpu_tn_einsum_exact,upmem_tn_runtime,per_task_input_quantize,0.00016688799996700254,0.03489998999975796,0.004781892486735954,8564,0.0,True,False
research_benchmark_pack_v1,thesis_upmem_quantization_boundary,bb84_6q_thesis_upmem_boundary,bb84,6,0421cdbe5126d4e18135af96182c8fb316a9ac5cc8fbae17abb4a147404f334a,cpu_tn_einsum_exact,upmem_tn_runtime,none,0.0001473299998906441,0.04227769199951581,0.003484816529065291,10404,0.0,True,False
research_benchmark_pack_v1,thesis_upmem_quantization_boundary,bb84_6q_thesis_upmem_boundary,bb84,6,0421cdbe5126d4e18135af96182c8fb316a9ac5cc8fbae17abb4a147404f334a,cpu_tn_einsum_exact,upmem_tn_runtime,per_task_input_quantize,0.0001473299998906441,0.04173567100087894,0.003530073827914289,10268,0.0,True,False
research_benchmark_pack_v1,thesis_upmem_quantization_boundary,bv_3q_thesis_upmem,bv,3,e2ef85ed5c77ea4fef6986a66dcf6bc24b4a005b4dfcb926d4660be5f10d43f2,cpu_tn_einsum_exact,upmem_tn_runtime,none,0.00011677199972837116,0.028524025000479014,0.004093812136485302,7084,0.0,True,False
research_benchmark_pack_v1,thesis_upmem_quantization_boundary,bv_3q_thesis_upmem,bv,3,e2ef85ed5c77ea4fef6986a66dcf6bc24b4a005b4dfcb926d4660be5f10d43f2,cpu_tn_einsum_exact,upmem_tn_runtime,per_task_input_quantize,0.00011677199972837116,0.028488959000242176,0.004098851057610722,6948,0.0,True,False
research_benchmark_pack_v1,thesis_upmem_quantization_boundary,bv_4q_thesis_upmem,bv,4,c916cd864b03e9655e6878ac26ed29f511d1490076c208c05671cc98ecc5dffc,cpu_tn_einsum_exact,upmem_tn_runtime,none,0.0001502960003563203,0.042112086998713494,0.003568951601969092,10388,0.0,True,False
research_benchmark_pack_v1,thesis_upmem_quantization_boundary,bv_4q_thesis_upmem,bv,4,c916cd864b03e9655e6878ac26ed29f511d1490076c208c05671cc98ecc5dffc,cpu_tn_einsum_exact,upmem_tn_runtime,per_task_input_quantize,0.0001502960003563203,0.04114377500036426,0.0036529462927256838,10116,0.0,True,False
research_benchmark_pack_v1,thesis_upmem_quantization_boundary,edc_4q_thesis_upmem,edc,4,23d56bc546adb0b0aa68a89ad009e2a38efc1f6e443f5bdd98aaed1ca9014350,cpu_tn_einsum_exact,upmem_tn_runtime,none,0.00011287399956927402,0.02607094099994356,0.004329494649599275,6576,0.0,True,False
research_benchmark_pack_v1,thesis_upmem_quantization_boundary,edc_4q_thesis_upmem,edc,4,23d56bc546adb0b0aa68a89ad009e2a38efc1f6e443f5bdd98aaed1ca9014350,cpu_tn_einsum_exact,upmem_tn_runtime,per_task_input_quantize,0.00011287399956927402,0.02620535599953655,0.0043072873946558956,6304,0.0,True,False
research_benchmark_pack_v1,thesis_upmem_quantization_boundary,edc_5q_thesis_upmem_boundary,edc,5,b25f5add95ff0544a2eac2deb8e024df21f6a7cd8d99949e09ab683e6c927f4e,cpu_tn_einsum_exact,upmem_tn_runtime,none,0.0001297270000577555,0.033202344000073936,0.00390716390558048,8384,0.0,True,False
