row_kind,scope,representation,feature,left_feature,right_feature,variance_population,distinct_count,pair_tie_fraction,pair_count,pearson,spearman
feature,all_feasible_candidates,raw,B_host_dpu,,,1381115666737.3057,152,0.011382180156657963,73536,,
feature,all_feasible_candidates,raw,B_mram_wram,,,1570195681345.3264,157,0.01043026544821584,73536,,
feature,all_feasible_candidates,raw,I_dpu,,,1425626597591.4932,151,0.011545365535248042,73536,,
feature,all_feasible_candidates,raw,N_sync,,,9541224.595675997,121,0.0632615317667537,73536,,
feature,all_feasible_candidates,raw,E_num,,,0.0,1,1.0,73536,,
feature,all_feasible_candidates,raw,P_wram,,,0.0,1,1.0,73536,,
pair,all_feasible_candidates,raw,,B_host_dpu,B_mram_wram,,,,73536,0.9972166429409259,0.9947654623251901
pair,all_feasible_candidates,raw,,B_host_dpu,I_dpu,,,,73536,0.4764149857688843,0.9469001048075913
pair,all_feasible_candidates,raw,,B_host_dpu,N_sync,,,,73536,0.567964138616465,0.23280011585656754
pair,all_feasible_candidates,raw,,B_host_dpu,E_num,,,,73536,,
pair,all_feasible_candidates,raw,,B_host_dpu,P_wram,,,,73536,,
pair,all_feasible_candidates,raw,,B_mram_wram,I_dpu,,,,73536,0.5175859056137992,0.9503153298558044
pair,all_feasible_candidates,raw,,B_mram_wram,N_sync,,,,73536,0.5627869205772996,0.2705246084109408
pair,all_feasible_candidates,raw,,B_mram_wram,E_num,,,,73536,,
pair,all_feasible_candidates,raw,,B_mram_wram,P_wram,,,,73536,,
pair,all_feasible_candidates,raw,,I_dpu,N_sync,,,,73536,0.37803757059891374,0.31383039749016645
pair,all_feasible_candidates,raw,,I_dpu,E_num,,,,73536,,
pair,all_feasible_candidates,raw,,I_dpu,P_wram,,,,73536,,
pair,all_feasible_candidates,raw,,N_sync,E_num,,,,73536,,
pair,all_feasible_candidates,raw,,N_sync,P_wram,,,,73536,,
pair,all_feasible_candidates,raw,,E_num,P_wram,,,,73536,,
feature,all_feasible_candidates,normalized,B_host_dpu,,,0.14234258767695634,148,0.014754677980852915,73536,,
feature,all_feasible_candidates,normalized,B_mram_wram,,,0.14054211053017054,153,0.011137402088772846,73536,,
feature,all_feasible_candidates,normalized,I_dpu,,,0.055829620464216856,146,0.015081048738033072,73536,,
feature,all_feasible_candidates,normalized,N_sync,,,1.6934972005236943,113,0.07460291557876414,73536,,
feature,all_feasible_candidates,normalized,E_num,,,0.0,1,1.0,73536,,
feature,all_feasible_candidates,normalized,P_wram,,,0.0,1,1.0,73536,,
pair,all_feasible_candidates,normalized,,B_host_dpu,B_mram_wram,,,,73536,0.9993470229055796,0.9904306825129634
pair,all_feasible_candidates,normalized,,B_host_dpu,I_dpu,,,,73536,0.9777366279422733,0.9911540100384464
pair,all_feasible_candidates,normalized,,B_host_dpu,N_sync,,,,73536,0.9653217248678448,0.8498091421700698
pair,all_feasible_candidates,normalized,,B_host_dpu,E_num,,,,73536,,
pair,all_feasible_candidates,normalized,,B_host_dpu,P_wram,,,,73536,,
pair,all_feasible_candidates,normalized,,B_mram_wram,I_dpu,,,,73536,0.9812349121171108,0.9822010515132117
pair,all_feasible_candidates,normalized,,B_mram_wram,N_sync,,,,73536,0.966127482322137,0.8562893035116155
pair,all_feasible_candidates,normalized,,B_mram_wram,E_num,,,,73536,,
pair,all_feasible_candidates,normalized,,B_mram_wram,P_wram,,,,73536,,
pair,all_feasible_candidates,normalized,,I_dpu,N_sync,,,,73536,0.9486928132939414,0.8399643916584564
pair,all_feasible_candidates,normalized,,I_dpu,E_num,,,,73536,,
pair,all_feasible_candidates,normalized,,I_dpu,P_wram,,,,73536,,
pair,all_feasible_candidates,normalized,,N_sync,E_num,,,,73536,,
pair,all_feasible_candidates,normalized,,N_sync,P_wram,,,,73536,,
pair,all_feasible_candidates,normalized,,E_num,P_wram,,,,73536,,
feature,bv_18q:1dpu_t8,raw,B_host_dpu,,,2033897982.485207,19,0.043076923076923075,325,,
feature,bv_18q:1dpu_t8,raw,B_mram_wram,,,2052446803.3136094,18,0.052307692307692305,325,,
feature,bv_18q:1dpu_t8,raw,I_dpu,,,126648385.5147929,18,0.05846153846153846,325,,
feature,bv_18q:1dpu_t8,raw,N_sync,,,23021.443786982247,6,0.5876923076923077,325,,
feature,bv_18q:1dpu_t8,raw,E_num,,,0.0,1,1.0,325,,
feature,bv_18q:1dpu_t8,raw,P_wram,,,0.0,1,1.0,325,,
pair,bv_18q:1dpu_t8,raw,,B_host_dpu,B_mram_wram,,,,325,0.9997686385643718,0.9968938724565423
