circuit_id,classification,split,family,historical_physical_status,candidate_source,definition_source,circuit_kind,circuit_name,circuit_parameters_json,circuit_spec_name,n_qubits,circuit_depth,gate_count,one_qubit_gate_count,two_qubit_gate_count,interaction_edge_count,interaction_density,interaction_max_degree,operations_sha256
quantization_stress_18q_l2,heuristic_eligible,pilot_development,quantization_stress,pilot_observed,upmem_path_heuristic_v1,pilot_config,builtin,quantization_stress,"{""n_qubits"":18,""repeat_layers"":2}",quantization_stress_18q,18,24,124,90,34,17,0.1111111111111111,2,b6aa901d13605c79b14d1ca4b2e25787d4487caf011b8ea735b947033bae4772
hs_18q_d1,heuristic_eligible,pilot_development,hs,pilot_observed,upmem_path_heuristic_v1,pilot_config,builtin,hs,"{""depth"":1,""n_qubits"":18}",hs_18q,18,3,36,27,9,9,0.058823529411764705,1,af167175a83db373db19344f0751c23240b81d8a2fb00ef1ca59d2772db3c42d
ghz_chain_18q,heuristic_eligible,pilot_development,ghz_chain,pilot_observed,upmem_path_heuristic_v1,pilot_config,builtin,ghz_chain,"{""n_qubits"":18}",ghz_18q,18,18,18,1,17,17,0.1111111111111111,2,aefb9a12e8eb01aea9780d345c4abe10139904c499b1623a4b2a71503550d242
edc_18q,heuristic_eligible,pilot_development,edc,pilot_observed,upmem_path_heuristic_v1,pilot_config,builtin,edc,"{""n_qubits"":18}",edc_18q,18,18,19,2,17,17,0.1111111111111111,2,f4fba91ed7bc914bbaa836481f0c2e9b4d6829831b751dcf1d8918c6e4e67772
edc_16q,heuristic_eligible,pilot_development,edc,pilot_observed,upmem_path_heuristic_v1,pilot_config,builtin,edc,"{""n_qubits"":16}",edc_16q,16,16,17,2,15,15,0.125,2,c2a77df6c49b1c6ae8049479a8e90c8bd4d006d798d85bf9e121940c2701d147
bv_18q,heuristic_eligible,pilot_development,bv,pilot_observed,upmem_path_heuristic_v1,pilot_config,builtin,bv,"{""n_qubits"":18}",bv_18q,18,12,45,36,9,9,0.058823529411764705,9,1a52c8ae2d906e8c6c3732f4f0ca9908ca2e7cbf9ac800fa715a0ae242b1fa39
quantization_stress_16q_l2,heuristic_eligible,training,quantization_stress,unobserved_for_path_selection,generalization_v1,workload_config,builtin,quantization_stress,"{""n_qubits"":16,""repeat_layers"":2}",quantization_stress_16q,16,22,110,80,30,15,0.125,2,33164097615c6a1dbb58f3c660cae44a145ec59923eac38459839b1dbfcbe43e
hs_20q_d1,heuristic_eligible,training,hs,unobserved_for_path_selection,generalization_v1,workload_config,builtin,hs,"{""depth"":1,""n_qubits"":20}",hs_20q,20,3,40,30,10,10,0.05263157894736842,1,30705d4132c61f3321f65dfb908c5455cf2adac2e253a608229f22d75022a7b5
edc_14q,heuristic_eligible,training,edc,unobserved_for_path_selection,generalization_v1,workload_config,builtin,edc,"{""n_qubits"":14}",edc_14q,14,14,15,2,13,13,0.14285714285714285,2,cdef6427f6cbfac18f30500291f0f94cf9affc57faf8762a758fe72ef95296f0
ghz_chain_16q,heuristic_eligible,validation,ghz_chain,unobserved_for_path_selection,generalization_v1,workload_config,builtin,ghz_chain,"{""n_qubits"":16}",ghz_16q,16,16,16,1,15,15,0.125,2,1b67d188713f815d8ca3e546edab769d66c6a9a2d42bd2d436494e97f11a2cd1
ghz_chain_14q,heuristic_eligible,test,ghz_chain,unobserved_for_path_selection,generalization_v1,workload_config,builtin,ghz_chain,"{""n_qubits"":14}",ghz_14q,14,14,14,1,13,13,0.14285714285714285,2,5daa2b17e79756d8e6d6207808aee1fa5e474119e79e13b184915b7a4e5ae9e9
xor_18q,heuristic_eligible,test,xor,unobserved_for_path_selection,generalization_v1,workload_config,builtin,xor,"{""n_qubits"":18}",xor_18q,18,18,18,1,17,17,0.1111111111111111,17,139f7009f1ddc7ad08a3074a8ef348300b393cdcf0d886ccdbb5d4bd80ab621d
bell_2q,correctness_only,none,bell,,,correctness_only_builtin,builtin,bell_2q,{},bell_2q,2,2,2,1,1,1,1.0,1,d99716cd9c7df2cffb0d8d701fa6b75763a6b7622cd990693e8aebf7a982907f
qrng_18q,correctness_only,none,qrng,,,correctness_only_builtin,builtin,qrng,"{""n_qubits"":18}",qrng_18q,18,1,18,18,0,0,0.0,0,bbeb515e67e099854610e97ac70063d4a004ffcc98834e46e32e643e7112f22c
bb84_18q,correctness_only,none,bb84,,,correctness_only_builtin,builtin,bb84,"{""n_qubits"":18}",bb84_18q,18,2,24,24,0,0,0.0,0,b34f946c2d12948ca8d16e6d72ae18041891bea6af013d3d7afc193ad8fd75de
