weights_json,selected_path_ids_json,cell_speedups_json,geometric_mean_speedup,minimum_cell_speedup,improved_cell_count,equivalent_weight_vector_count
"{""B_host_dpu"":0.0,""B_mram_wram"":0.0,""E_num"":0.0,""I_dpu"":0.0,""N_sync"":1.0,""P_wram"":0.0}","{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""8a53a83c45b1a831a0d3d09f8b5393cd82dbadedaf2a239bc0a4da1843a470a4"",""ghz_chain_18q:4dpu_t8"":""8a53a83c45b1a831a0d3d09f8b5393cd82dbadedaf2a239bc0a4da1843a470a4"",""hs_18q_d1:1dpu_t8"":""002f633fd11c9c8ac95008a9452a63ccea24651ab38167fe6e6b762d00c2806d"",""hs_18q_d1:4dpu_t8"":""002f633fd11c9c8ac95008a9452a63ccea24651ab38167fe6e6b762d00c2806d"",""quantization_stress_18q_l2:1dpu_t8"":""2eb807e063945083b04ae8fe3a72afca4e2a2b97d37dc739805c462caa388747"",""quantization_stress_18q_l2:4dpu_t8"":""2eb807e063945083b04ae8fe3a72afca4e2a2b97d37dc739805c462caa388747""}","{""edc_18q:1dpu_t8"":4.853237200389322,""edc_18q:4dpu_t8"":3.7564615198791804,""ghz_chain_18q:1dpu_t8"":4.872403160108611,""ghz_chain_18q:4dpu_t8"":3.6604976181045945,""hs_18q_d1:1dpu_t8"":0.9949201082369269,""hs_18q_d1:4dpu_t8"":0.9754816531347879,""quantization_stress_18q_l2:1dpu_t8"":1.143625658792528,""quantization_stress_18q_l2:4dpu_t8"":1.0069194922188989}",2.0895245111473755,0.9754816531347879,6,1
"{""B_host_dpu"":5.018429839537098e-07,""B_mram_wram"":5.018429839537098e-07,""E_num"":0.0,""I_dpu"":0.4087650004078836,""N_sync"":0.5912339959061486,""P_wram"":0.0}","{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""8a53a83c45b1a831a0d3d09f8b5393cd82dbadedaf2a239bc0a4da1843a470a4"",""ghz_chain_18q:4dpu_t8"":""8a53a83c45b1a831a0d3d09f8b5393cd82dbadedaf2a239bc0a4da1843a470a4"",""hs_18q_d1:1dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""hs_18q_d1:4dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""quantization_stress_18q_l2:1dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb"",""quantization_stress_18q_l2:4dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb""}","{""edc_18q:1dpu_t8"":4.853237200389322,""edc_18q:4dpu_t8"":3.7564615198791804,""ghz_chain_18q:1dpu_t8"":4.872403160108611,""ghz_chain_18q:4dpu_t8"":3.6604976181045945,""hs_18q_d1:1dpu_t8"":0.977006470356156,""hs_18q_d1:4dpu_t8"":1.0163179096347865,""quantization_stress_18q_l2:1dpu_t8"":1.4087746549599913,""quantization_stress_18q_l2:4dpu_t8"":1.2954165703489047}",2.219647323076399,0.977006470356156,7,28225
"{""B_host_dpu"":0.001559146629332604,""B_mram_wram"":0.001559146629332604,""E_num"":0.0,""I_dpu"":0.7610780983689974,""N_sync"":0.23580360837233746,""P_wram"":0.0}","{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""ghz_chain_18q:4dpu_t8"":""8a53a83c45b1a831a0d3d09f8b5393cd82dbadedaf2a239bc0a4da1843a470a4"",""hs_18q_d1:1dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""hs_18q_d1:4dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""quantization_stress_18q_l2:1dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb"",""quantization_stress_18q_l2:4dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb""}","{""edc_18q:1dpu_t8"":4.853237200389322,""edc_18q:4dpu_t8"":3.7564615198791804,""ghz_chain_18q:1dpu_t8"":4.882695811694989,""ghz_chain_18q:4dpu_t8"":3.6604976181045945,""hs_18q_d1:1dpu_t8"":0.977006470356156,""hs_18q_d1:4dpu_t8"":1.0163179096347865,""quantization_stress_18q_l2:1dpu_t8"":1.4087746549599913,""quantization_stress_18q_l2:4dpu_t8"":1.2954165703489047}",2.2202328906466255,0.977006470356156,7,133
"{""B_host_dpu"":0.0,""B_mram_wram"":0.0,""E_num"":0.0,""I_dpu"":1.0,""N_sync"":0.0,""P_wram"":0.0}","{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""ghz_chain_18q:4dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""hs_18q_d1:1dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""hs_18q_d1:4dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""quantization_stress_18q_l2:1dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb"",""quantization_stress_18q_l2:4dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb""}","{""edc_18q:1dpu_t8"":4.853237200389322,""edc_18q:4dpu_t8"":3.7564615198791804,""ghz_chain_18q:1dpu_t8"":4.882695811694989,""ghz_chain_18q:4dpu_t8"":3.7126364784630326,""hs_18q_d1:1dpu_t8"":0.977006470356156,""hs_18q_d1:4dpu_t8"":1.0163179096347865,""quantization_stress_18q_l2:1dpu_t8"":1.4087746549599913,""quantization_stress_18q_l2:4dpu_t8"":1.2954165703489047}",2.2241615025825503,0.977006470356156,7,19114
"{""B_host_dpu"":0.11031840103141394,""B_mram_wram"":0.11031840103141394,""E_num"":0.0,""I_dpu"":0.7768451800394555,""N_sync"":0.002518017897716659,""P_wram"":0.0}","{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""ghz_chain_18q:4dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""hs_18q_d1:1dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""hs_18q_d1:4dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""quantization_stress_18q_l2:1dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb"",""quantization_stress_18q_l2:4dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb""}","{""edc_18q:1dpu_t8"":4.853237200389322,""edc_18q:4dpu_t8"":3.7564615198791804,""ghz_chain_18q:1dpu_t8"":4.882695811694989,""ghz_chain_18q:4dpu_t8"":3.7126364784630326,""hs_18q_d1:1dpu_t8"":1.0,""hs_18q_d1:4dpu_t8"":1.0163179096347865,""quantization_stress_18q_l2:1dpu_t8"":1.4087746549599913,""quantization_stress_18q_l2:4dpu_t8"":1.2954165703489047}",2.2306382211601568,1.0,7,3
"{""B_host_dpu"":0.012184083136706292,""B_mram_wram"":0.012184083136706292,""E_num"":0.0,""I_dpu"":0.9754242110524387,""N_sync"":0.00020762267414873057,""P_wram"":0.0}","{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""ghz_chain_18q:4dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""hs_18q_d1:1dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""hs_18q_d1:4dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""quantization_stress_18q_l2:1dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb"",""quantization_stress_18q_l2:4dpu_t8"":""9d1e1ae9a325d84cef97b0fd9beffa9d4b3d783f00a4e38f6fce3a17114d3abb""}","{""edc_18q:1dpu_t8"":4.853237200389322,""edc_18q:4dpu_t8"":3.7564615198791804,""ghz_chain_18q:1dpu_t8"":4.882695811694989,""ghz_chain_18q:4dpu_t8"":3.7126364784630326,""hs_18q_d1:1dpu_t8"":1.0,""hs_18q_d1:4dpu_t8"":1.0,""quantization_stress_18q_l2:1dpu_t8"":1.4087746549599913,""quantization_stress_18q_l2:4dpu_t8"":1.2954165703489047}",2.2261295883073786,1.0,6,246
"{""B_host_dpu"":0.0003887401267999769,""B_mram_wram"":0.0003887401267999769,""E_num"":0.0,""I_dpu"":0.0007717339061140139,""N_sync"":0.998450785840286,""P_wram"":0.0}","{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""8a53a83c45b1a831a0d3d09f8b5393cd82dbadedaf2a239bc0a4da1843a470a4"",""ghz_chain_18q:4dpu_t8"":""8a53a83c45b1a831a0d3d09f8b5393cd82dbadedaf2a239bc0a4da1843a470a4"",""hs_18q_d1:1dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""hs_18q_d1:4dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""quantization_stress_18q_l2:1dpu_t8"":""e56fd025e7fdf900c75302bb6e7212f78d89deef09b236732a001e9f5c5001c1"",""quantization_stress_18q_l2:4dpu_t8"":""e56fd025e7fdf900c75302bb6e7212f78d89deef09b236732a001e9f5c5001c1""}","{""edc_18q:1dpu_t8"":4.853237200389322,""edc_18q:4dpu_t8"":3.7564615198791804,""ghz_chain_18q:1dpu_t8"":4.872403160108611,""ghz_chain_18q:4dpu_t8"":3.6604976181045945,""hs_18q_d1:1dpu_t8"":0.977006470356156,""hs_18q_d1:4dpu_t8"":1.0163179096347865,""quantization_stress_18q_l2:1dpu_t8"":1.407420923468769,""quantization_stress_18q_l2:4dpu_t8"":1.3003276365928957}",2.2204305947617495,0.977006470356156,7,31553
"{""B_host_dpu"":0.18540226174423383,""B_mram_wram"":0.18540226174423383,""E_num"":0.0,""I_dpu"":0.402600656401695,""N_sync"":0.22659482010983736,""P_wram"":0.0}","{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""ghz_chain_18q:4dpu_t8"":""8a53a83c45b1a831a0d3d09f8b5393cd82dbadedaf2a239bc0a4da1843a470a4"",""hs_18q_d1:1dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""hs_18q_d1:4dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""quantization_stress_18q_l2:1dpu_t8"":""e56fd025e7fdf900c75302bb6e7212f78d89deef09b236732a001e9f5c5001c1"",""quantization_stress_18q_l2:4dpu_t8"":""e56fd025e7fdf900c75302bb6e7212f78d89deef09b236732a001e9f5c5001c1""}","{""edc_18q:1dpu_t8"":4.853237200389322,""edc_18q:4dpu_t8"":3.7564615198791804,""ghz_chain_18q:1dpu_t8"":4.882695811694989,""ghz_chain_18q:4dpu_t8"":3.6604976181045945,""hs_18q_d1:1dpu_t8"":0.977006470356156,""hs_18q_d1:4dpu_t8"":1.0163179096347865,""quantization_stress_18q_l2:1dpu_t8"":1.407420923468769,""quantization_stress_18q_l2:4dpu_t8"":1.3003276365928957}",2.22101636896773,0.977006470356156,7,162
"{""B_host_dpu"":0.1857661353418402,""B_mram_wram"":0.1857661353418402,""E_num"":0.0,""I_dpu"":0.40507521716230527,""N_sync"":0.2233925121540143,""P_wram"":0.0}","{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""ghz_chain_18q:4dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""hs_18q_d1:1dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""hs_18q_d1:4dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""quantization_stress_18q_l2:1dpu_t8"":""e56fd025e7fdf900c75302bb6e7212f78d89deef09b236732a001e9f5c5001c1"",""quantization_stress_18q_l2:4dpu_t8"":""e56fd025e7fdf900c75302bb6e7212f78d89deef09b236732a001e9f5c5001c1""}","{""edc_18q:1dpu_t8"":4.853237200389322,""edc_18q:4dpu_t8"":3.7564615198791804,""ghz_chain_18q:1dpu_t8"":4.882695811694989,""ghz_chain_18q:4dpu_t8"":3.7126364784630326,""hs_18q_d1:1dpu_t8"":0.977006470356156,""hs_18q_d1:4dpu_t8"":1.0163179096347865,""quantization_stress_18q_l2:1dpu_t8"":1.407420923468769,""quantization_stress_18q_l2:4dpu_t8"":1.3003276365928957}",2.2249463672367265,0.977006470356156,7,19708
"{""B_host_dpu"":0.27073709259981954,""B_mram_wram"":0.27073709259981954,""E_num"":0.0,""I_dpu"":0.45232358896253566,""N_sync"":0.006202225837825213,""P_wram"":0.0}","{""edc_18q:1dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""edc_18q:4dpu_t8"":""cf23b184355b080f3bead1d9d754a3c2c295746793109413aedfff30da27b94e"",""ghz_chain_18q:1dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""ghz_chain_18q:4dpu_t8"":""9f9e62a16e205e4bd5eb1d1b8f62cade3177ef00fa9bd4dc15c899a41b00d3d0"",""hs_18q_d1:1dpu_t8"":""bf83ea123bc85b30f3c7f1f8a0de47c8366352fc37c099890eab75c8cba62cb8"",""hs_18q_d1:4dpu_t8"":""0f172b4535a71fb59dd5d4f406df828c33333cda1113d1c71db08b5d0e989d1e"",""quantization_stress_18q_l2:1dpu_t8"":""e56fd025e7fdf900c75302bb6e7212f78d89deef09b236732a001e9f5c5001c1"",""quantization_stress_18q_l2:4dpu_t8"":""e56fd025e7fdf900c75302bb6e7212f78d89deef09b236732a001e9f5c5001c1""}","{""edc_18q:1dpu_t8"":4.853237200389322,""edc_18q:4dpu_t8"":3.7564615198791804,""ghz_chain_18q:1dpu_t8"":4.882695811694989,""ghz_chain_18q:4dpu_t8"":3.7126364784630326,""hs_18q_d1:1dpu_t8"":1.0,""hs_18q_d1:4dpu_t8"":1.0163179096347865,""quantization_stress_18q_l2:1dpu_t8"":1.407420923468769,""quantization_stress_18q_l2:4dpu_t8"":1.3003276365928957}",2.2314253713261905,1.0,7,6
