algo,paper_algo,result_label,input_qubits,allocated_qubits,depth,threads,status,success_count,fail_count,skipped_count,repeat_count,time_median_s,time_mean_s,time_min_s,time_max_s,time_stdev_s,energy_median_j,energy_mean_j,energy_min_j,energy_max_j,energy_stdev_j,energy_source,one_qubit_gates,two_qubit_gates
BB84,BB_n,BB84/BB_n,4,4,0,1,ok,3,0,0,3,6.7857e-05,6.792033333333333e-05,6.7396e-05,6.8508e-05,5.586987858706451e-07,0.0,0.0,0.0,0.0,0.0,rapl_measured,8,0
BB84,BB_n,BB84/BB_n,6,6,0,1,ok,3,0,0,3,8.7734e-05,9.63e-05,8.5079e-05,0.000116087,1.7187387323267026e-05,0.040251,0.027896666666666667,0.0,0.043439,0.024211750129499793,rapl_measured,12,0
BB84,BB_n,BB84/BB_n,8,8,0,1,ok,3,0,0,3,0.000111138,0.00011261666666666666,0.000111067,0.000115645,2.6228538528353636e-06,0.0,0.0,0.0,0.0,0.0,rapl_measured,16,0
BB84,BB_n,BB84/BB_n,10,10,0,1,ok,3,0,0,3,0.000149609,0.00015033066666666667,0.000147896,0.000153487,2.864510836658384e-06,0.0,0.0,0.0,0.0,0.0,rapl_measured,20,0
BB84,BB_n,BB84/BB_n,12,12,0,1,ok,3,0,0,3,0.000281245,0.00028308533333333335,0.000278049,0.000289962,6.1660370038893986e-06,0.044309,0.030048333333333333,0.0,0.045836,0.026033818089810288,rapl_measured,24,0
BB84,BB_n,BB84/BB_n,14,14,0,1,ok,3,0,0,3,0.000822736,0.0008247096666666666,0.000817045,0.000834348,8.818728498674457e-06,0.045896,0.04616066666666667,0.045286,0.0473,0.0010327561829073383,rapl_measured,28,0
BB84,BB_n,BB84/BB_n,16,16,0,1,ok,3,0,0,3,0.003249136,0.0032528830000000002,0.003231072,0.003278441,2.3905763886560813e-05,0.134804,0.13386333333333333,0.124673,0.142113,0.008757970103473362,rapl_measured,32,0
BV,BV_n,BV/BV_n,4,4,0,1,ok,3,0,0,3,8.7192e-05,8.8415e-05,8.6121e-05,9.1932e-05,3.0925276069907613e-06,0.0,0.0,0.0,0.0,0.0,rapl_measured,8,3
BV,BV_n,BV/BV_n,6,6,0,1,ok,3,0,0,3,0.000120675,0.00011931633333333334,0.000116528,0.000120746,2.4150284332349634e-06,0.0,0.017048,0.0,0.051144,0.02952800216743422,rapl_measured,12,5
BV,BV_n,BV/BV_n,8,8,0,1,ok,3,0,0,3,0.000151292,0.000153874,0.000148668,0.000161662,6.871029908245198e-06,0.0,0.0,0.0,0.0,0.0,rapl_measured,16,7
BV,BV_n,BV/BV_n,10,10,0,1,ok,3,0,0,3,0.00020914,0.000209391,0.000207157,0.000211876,2.369491717647483e-06,0.0,0.0,0.0,0.0,0.0,rapl_measured,20,9
BV,BV_n,BV/BV_n,12,12,0,1,ok,3,0,0,3,0.000381502,0.00038389699999999996,0.000377305,0.000392884,8.060913657892631e-06,0.0,0.014957666666666668,0.0,0.044873,0.025907438629346077,rapl_measured,24,11
BV,BV_n,BV/BV_n,14,14,0,1,ok,3,0,0,3,0.001078323,0.0010855633333333333,0.001074546,0.001103821,1.59239827409268e-05,0.042814,0.043922666666666665,0.041563,0.047391,0.003068102399421072,rapl_measured,28,13
BV,BV_n,BV/BV_n,16,16,0,1,ok,3,0,0,3,0.004207755,0.00421551,0.004203818,0.004234957,1.6956248081459755e-05,0.183218,0.17827433333333334,0.167289,0.184316,0.009529405140581095,rapl_measured,32,15
EDC,EDC_n,EDC/EDC_n,4,4,0,1,ok,3,0,0,3,0.000107601,0.00010835233333333333,0.00010709,0.000110366,1.762503995267333e-06,0.0,0.0,0.0,0.0,0.0,rapl_measured,8,6
EDC,EDC_n,EDC/EDC_n,6,6,0,1,ok,3,0,0,3,0.000152796,0.000155163,0.000151583,0.00016111,5.185841204664876e-06,0.0,0.015237666666666665,0.0,0.045713,0.026392412855465362,rapl_measured,12,10
