algo,paper_algo,result_label,input_qubits,allocated_qubits,depth,threads,status,success_count,fail_count,skipped_count,repeat_count,time_median_s,time_mean_s,time_min_s,time_max_s,time_stdev_s,energy_median_j,energy_mean_j,energy_min_j,energy_max_j,energy_stdev_j,energy_source,one_qubit_gates,two_qubit_gates
BB84,BB_n,BB84/BB_n,18,18,0,1,ok,5,0,0,5,0.013871492,0.0138553616,0.013791322,0.013916977,4.9635780847086556e-05,0.606475,0.60523,0.598312,0.611678,0.006096075089760656,rapl_measured,36,0
BB84,BB_n,BB84/BB_n,20,20,0,1,ok,5,0,0,5,0.060990597,0.0610317362,0.06085298,0.061226098,0.00018368800941868696,2.315509,2.372015,2.279942,2.548056,0.11209824210263059,rapl_measured,40,0
BB84,BB_n,BB84/BB_n,22,22,0,1,ok,5,0,0,5,0.297034032,0.2987652548,0.294093085,0.305080544,0.004733700025615774,13.689859,12.866803,11.401693,13.704019,1.1458292315026706,rapl_measured,44,0
BB84,BB_n,BB84/BB_n,24,24,0,1,ok,5,0,0,5,1.298193951,1.2997792462,1.291651439,1.317206551,0.010449098117523105,47.45592,47.9093876,47.110524,49.932034,1.1585002048721451,rapl_measured,48,0
BV,BV_n,BV/BV_n,18,18,0,1,ok,5,0,0,5,0.017820153,0.0178184262,0.017783135,0.017873984,3.6501448679469875e-05,0.721429,0.7388592,0.712502,0.779973,0.031630380849746356,rapl_measured,36,17
BV,BV_n,BV/BV_n,20,20,0,1,ok,5,0,0,5,0.078443184,0.0784144884,0.078235135,0.078563148,0.00013293818248080668,2.923097,2.940781,2.884479,3.075479,0.07720520307595861,rapl_measured,40,19
BV,BV_n,BV/BV_n,22,22,0,1,ok,5,0,0,5,0.387283881,0.38556128,0.378993171,0.388581676,0.003902303423802783,14.451767,14.4952494,14.156952,14.992938,0.311687495452256,rapl_measured,44,21
BV,BV_n,BV/BV_n,24,24,0,1,ok,5,0,0,5,1.748949404,1.750108278,1.743591599,1.758444438,0.006050182079127499,64.191276,64.3821412,63.759459,65.363715,0.6017711054904518,rapl_measured,48,23
EDC,EDC_n,EDC/EDC_n,18,18,0,1,ok,5,0,0,5,0.021826814,0.02183873,0.021800224,0.021888569,3.337737781042729e-05,0.88887,0.8854368,0.860719,0.90602,0.019686855937401496,rapl_measured,36,34
EDC,EDC_n,EDC/EDC_n,20,20,0,1,ok,5,0,0,5,0.095970281,0.0959043294,0.095620857,0.096213004,0.00023833818847239003,3.679665,3.6824146,3.63824,3.720633,0.03486230127659381,rapl_measured,40,38
EDC,EDC_n,EDC/EDC_n,22,22,0,1,ok,5,0,0,5,0.484196085,0.4869952636,0.483090117,0.498100579,0.006275711260835682,18.211323,18.5035076,17.673204,19.977986,0.8759561844985752,rapl_measured,44,42
EDC,EDC_n,EDC/EDC_n,24,24,0,1,ok,5,0,0,5,2.153630991,2.1590665502,2.150406488,2.17822878,0.011208762906927737,79.893604,79.7471362,79.387572,80.148397,0.3423618307787804,rapl_measured,48,46
HS,HS_2n,HS/HS_2n,9,18,0,1,ok,5,0,0,5,0.025091497,0.0250799236,0.025025264,0.025137594,4.492218339862864e-05,1.045845,1.0463082,0.957104,1.106724,0.061207097678292195,rapl_measured,54,18
